account_id,label
ACC0001,0
ACC0002,0
ACC0003,0
ACC0004,0
ACC0005,0
ACC0006,0
ACC0007,0
ACC0008,0
ACC0009,0
ACC0010,0
ACC0011,0
ACC0012,0
ACC0013,1
ACC0014,1
ACC0015,0
ACC0016,1
ACC0017,1
ACC0018,0
ACC0019,0
ACC0020,0
ACC0021,0
ACC0022,0
ACC0023,0
ACC0024,0
ACC0025,0
ACC0026,0
ACC0027,0
ACC0028,0
ACC0029,0
ACC0030,0
ACC0031,0
ACC0032,0
ACC0033,0
ACC0034,0
ACC0035,0
ACC0036,0
ACC0037,0
ACC0038,0
ACC0039,0
ACC0040,0
ACC0041,0
ACC0042,0
ACC0043,0
ACC0044,0
ACC0045,1
ACC0046,0
ACC0047,0
ACC0048,1
ACC0049,0
ACC0050,0
ACC0051,0
ACC0052,0
ACC0053,1
ACC0054,0
ACC0055,0
ACC0056,0
ACC0057,0
ACC0058,1
ACC0059,0
ACC0060,0
ACC0061,0
ACC0062,0
ACC0063,0
ACC0064,0
ACC0065,0
ACC0066,0
ACC0067,0
ACC0068,0
ACC0069,0
ACC0070,0
ACC0071,0
ACC0072,1
ACC0073,0
ACC0074,0
ACC0075,0
ACC0076,0
ACC0077,0
ACC0078,0
ACC0079,0
ACC0080,0
ACC0081,0
ACC0082,0
ACC0083,0
ACC0084,0
ACC0085,0
ACC0086,0
ACC0087,0
ACC0088,0
ACC0089,0
ACC0090,0
ACC0091,0
ACC0092,0
ACC0093,0
ACC0094,0
ACC0095,0
ACC0096,0
ACC0097,0
ACC0098,0
ACC0099,0
ACC0100,0
ACC0101,0
ACC0102,1
ACC0103,0
ACC0104,0
ACC0105,0
ACC0106,0
ACC0107,0
ACC0108,0
ACC0109,0
ACC0110,0
ACC0111,0
ACC0112,1
ACC0113,0
ACC0114,0
ACC0115,1
ACC0116,0
ACC0117,0
ACC0118,0
ACC0119,0
ACC0120,1
ACC0121,0
ACC0122,0
ACC0123,0
ACC0124,0
ACC0125,0
ACC0126,1
ACC0127,0
ACC0128,0
ACC0129,0
ACC0130,0
ACC0131,0
ACC0132,0
ACC0133,0
ACC0134,0
ACC0135,0
ACC0136,0
ACC0137,0
ACC0138,0
ACC0139,0
ACC0140,0
ACC0141,1
ACC0142,0
ACC0143,0
ACC0144,0
ACC0145,0
ACC0146,0
ACC0147,0
ACC0148,0
ACC0149,0
ACC0150,0
ACC0151,0
ACC0152,0
ACC0153,0
ACC0154,0
ACC0155,0
ACC0156,0
ACC0157,0
